0,1,2,3,4,5,6,7,8,9,10,11
State Code,County Code,Site Number,POC WS,POC WD,POC TEMP,POC PM10,Latitude,Longitude,State Name,County Name,City Name
13.0,245.0,91.0,1.0,1.0,1.0,4.0,33.4339,-82.0224,Georgia,Richmond,Augusta
15.0,3.0,10.0,1.0,1.0,1.0,3.0,21.323745,-158.088613,Hawaii,Honolulu,Not in a City
16.0,5.0,15.0,1.0,1.0,1.0,3.0,42.876725,-112.460347,Idaho,Bannock,Pocatello
16.0,17.0,3.0,1.0,1.0,1.0,3.0,48.292141,-116.556656,Idaho,Bonner,Sandpoint
16.0,79.0,17.0,1.0,1.0,1.0,3.0,47.536389,-116.236667,Idaho,Shoshone,Pinehurst (Pine Creek)
17.0,31.0,4201.0,1.0,1.0,1.0,1.0,42.139996,-87.799227,Illinois,Cook,Northbrook
17.0,31.0,4201.0,nan,nan,nan,9.0,42.139996,-87.799227,Illinois,Cook,Northbrook
18.0,89.0,22.0,1.0,1.0,1.0,2.0,41.606662,-87.304943,Indiana,Lake,Gary
18.0,89.0,34.0,1.0,1.0,1.0,1.0,41.653501,-87.435561,Indiana,Lake,East Chicago
18.0,97.0,78.0,1.0,1.0,1.0,1.0,39.810833,-86.114444,Indiana,Marion,Indianapolis (Remainder)
18.0,97.0,78.0,nan,nan,nan,4.0,39.810833,-86.114444,Indiana,Marion,Indianapolis (Remainder)
19.0,113.0,40.0,1.0,1.0,1.0,1.0,41.97677,-91.68766,Iowa,Linn,Cedar Rapids
19.0,113.0,40.0,nan,nan,nan,2.0,41.97677,-91.68766,Iowa,Linn,Cedar Rapids
19.0,153.0,30.0,1.0,1.0,1.0,1.0,41.603159,-93.643118,Iowa,Polk,Des Moines
19.0,153.0,30.0,nan,nan,nan,2.0,41.603159,-93.643118,Iowa,Polk,Des Moines
19.0,163.0,15.0,1.0,1.0,1.0,1.0,41.530011,-90.587611,Iowa,Scott,Davenport
19.0,163.0,15.0,nan,nan,nan,2.0,41.530011,-90.587611,Iowa,Scott,Davenport
19.0,163.0,17.0,1.0,1.0,1.0,2.0,41.467236,-90.688451,Iowa,Scott,Buffalo
19.0,163.0,17.0,nan,nan,nan,3.0,41.467236,-90.688451,Iowa,Scott,Buffalo
19.0,163.0,17.0,nan,nan,nan,5.0,41.467236,-90.688451,Iowa,Scott,Buffalo
19.0,177.0,6.0,1.0,1.0,1.0,1.0,40.695078,-92.006318,Iowa,Van Buren,Not in a City
20.0,209.0,21.0,2.0,2.0,2.0,3.0,39.117219,-94.635605,Kansas,Wyandotte,Kansas City
21.0,43.0,500.0,1.0,1.0,1.0,1.0,38.23887,-82.9881,Kentucky,Carter,Not in a City
21.0,43.0,500.0,nan,nan,nan,2.0,38.23887,-82.9881,Kentucky,Carter,Not in a City
21.0,111.0,67.0,1.0,1.0,1.0,3.0,38.22876,-85.65452,Kentucky,Jefferson,Louisville
